nbhd_name,total_population_all,hispanic_or_latino,white,black,native_american,asian,hawaiian_pi,other_race,two_or_more,pct_hispanic,pct_white,pct_black,pct_nativeam,pct_asian,pct_hawaiianpi,pct_otherrace,pct_twoormore_races,pct_poverty,pct_fam_poverty
Sunnyside,10091,4424,4763,458,57,181,11,60,137,44.71029516,46.26217513,4.5666096,0.61068685,1.84295613,0.09152937,0.53681135,1.37893642,18.36666667,15.13904626
Union Station,7500,401,6219,71,13,695,0,0,101,5.340666,82.92,0.9406666,0.1703333,9.206666,0,0,1.340666,13.9,13.16211878
University,9905,825,7990,419,8,503,0,8,152,9.52455376,79.17233084,4.58490394,0.11954573,5.08616351,0,0.06098491,1.45151732,14.1,5.51531418
University Hills,5764,645,4444,158,24,165,0,11,317,8.77312856,77.53460115,4.86109184,0.63244794,3.0204873,0,0.13042447,5.04781873,6.1,1.09126984
University Park,8156,973,6076,138,42,548,0,0,379,12.61747388,74.32876728,2.01375589,0.5733546,6.21015983,0,0,4.25648853,16.1,5.76358182
Valverde,4803,3714,541,228,9,268,0,34,9,77.32667083,11.26379346,4.7470331,0.18738289,5.57984593,0,0.7078909,0.18738289,18.5,17.61416589
Villa Park,9846,6902,2627,214,79,24,0,0,0,69.78799747,27.14840833,2.01913595,0.82952005,0.21493821,0,0,0,22.5,18.33932782
Virginia Village,14437,2248,9949,1202,0,558,48,111,321,15.43463809,69.4595446,7.98254298,0,3.81153655,0.33557047,0.72910844,2.24705888,14.95,10.45749664
Washington Park,7514,457,6725,53,46,120,6,11,96,6.20408781,89.66223474,0.67343558,0.51621384,1.43993514,0.11286682,0.2069225,1.18430358,3.95,2.25335264
Washington Park West,7798,578,6557,81,0,239,0,29,314,7.50726423,83.87244748,1.05457485,0,3.15936307,0,0.34206181,4.06428857,6.75,5.00893176
Washington Virginia Vale,14793,2869,8496,1913,43,794,0,86,592,17.71622236,61.38980959,11.47850222,0.3566393,4.84923596,0,0.69714354,3.51244703,13.5,9.28346231
Wellshire,3525,494,2814,0,0,89,10,0,118,14.0141844,79.82978723,0,0,2.5248227,0.28368794,0,3.34751773,3.2,2.28789323
West Colfax,9315,4581,3741,539,34,142,14,20,244,49.12787457,40.25461046,5.79791452,0.37056316,1.51016155,0.14586372,0.20837675,2.58463529,22.9,22.45861491
West Highland,9252,1237,7339,144,26,251,40,0,215,13.37112362,79.31052878,1.5614518,0.28340964,2.71375767,0.42872454,0,2.33100395,8.8,5.70417968
Westwood,17707,14221,1968,724,170,566,0,0,58,80.11234921,11.06235719,4.21577979,0.95757821,3.27572936,0,0,0.37620625,26.525,25.54339772
Whittier,5528,1044,2950,1222,35,93,0,0,184,18.88567294,53.36468886,22.10564399,0.63314038,1.68234443,0,0,3.32850941,11.2,6.10820244
Windsor,14477,2873,7282,2889,0,769,0,14,650,20.68240942,49.00864124,20.14705614,0,5.4448743,0,0.1070091,4.6100098,12.23333333,10.08753892
